datetime,GHI,GHI_climatology,power_true_MW,power_clim_MW
2937,616,632.6258064516129,25.23136,25.912353032258064
2938,801,812.0,32.80896,33.25952
2939,940,941.0516129032258,38.5024,38.54547406451613
2940,1013,1007.8451612903226,41.49248,41.28133780645162
2941,1019,1018.3806451612903,41.73824,41.71287122580645
2942,955,951.2516129032258,39.1168,38.963266064516134
2943,834,820.5612903225806,34.16064,33.61019045161291
2944,658,657.9483870967742,26.95168,26.94956593548388
2945,444,453.8258064516129,18.18624,18.588705032258066
2946,218,240.9806451612903,8.92928,9.87056722580645
2947,32,52.464516129032255,1.31072,2.1489465806451618
2948,0,0.0,0.0,0.0
2949,0,0.0,0.0,0.0
2950,0,0.0,0.0,0.0
2951,0,0.0,0.0,0.0
2952,0,0.0,0.0,0.0
2953,0,0.0,0.0,0.0
2954,0,0.0,0.0,0.0
2955,0,0.0,0.0,0.0
2956,0,0.0,0.0,0.0
2957,0,0.0,0.0,0.0
2958,16,29.348387096774193,0.65536,1.2021099354838711
2959,191,204.8516129032258,7.82336,8.39072206451613
2960,414,420.8,16.95744,17.235968
2961,630,632.6258064516129,25.8048,25.912353032258064
2962,812,812.0,33.25952,33.25952
2963,938,941.0516129032258,38.42048,38.54547406451613
2964,1011,1007.8451612903226,41.41056,41.28133780645162
2965,1018,1018.3806451612903,41.69728,41.71287122580645
2966,953,951.2516129032258,39.03488,38.963266064516134
2967,832,820.5612903225806,34.07872,33.61019045161291
2968,659,657.9483870967742,26.99264,26.94956593548388
2969,450,453.8258064516129,18.432,18.588705032258066
2970,226,240.9806451612903,9.25696,9.87056722580645
2971,36,52.464516129032255,1.47456,2.1489465806451618
2972,0,0.0,0.0,0.0
2973,0,0.0,0.0,0.0
2974,0,0.0,0.0,0.0
2975,0,0.0,0.0,0.0
2976,0,0.0,0.0,0.0
2977,0,0.0,0.0,0.0
2978,0,0.0,0.0,0.0
2979,0,0.0,0.0,0.0
2980,0,0.0,0.0,0.0
2981,0,0.0,0.0,0.0
2982,17,29.348387096774193,0.69632,1.2021099354838711
2983,191,204.8516129032258,7.82336,8.39072206451613
2984,412,420.8,16.87552,17.235968
2985,629,632.6258064516129,25.76384,25.912353032258064
2986,812,812.0,33.25952,33.25952
2987,942,941.0516129032258,38.58432,38.54547406451613
2988,1016,1007.8451612903226,41.61536,41.28133780645162
2989,1023,1018.3806451612903,41.90208,41.71287122580645
2990,960,951.2516129032258,39.3216,38.963266064516134
2991,840,820.5612903225806,34.4064,33.61019045161291
2992,665,657.9483870967742,27.2384,26.94956593548388
2993,454,453.8258064516129,18.59584,18.588705032258066
2994,211,240.9806451612903,8.64256,9.87056722580645
2995,32,52.464516129032255,1.31072,2.1489465806451618
2996,0,0.0,0.0,0.0
2997,0,0.0,0.0,0.0
2998,0,0.0,0.0,0.0
2999,0,0.0,0.0,0.0
3000,0,0.0,0.0,0.0
